id,session,Gender,Spectacles,Facial_Hair,Pose,Emotion,combined_labels
1003,2008-02-21_16-38-47,1,0,1,0,0,1_0_1_0_0
1003,2008-05-20_17-51-27,1,1,1,0,0,1_1_1_0_0
1003,2008-03-12_17-50-55,1,1,1,0,0,1_1_1_0_0
1003,2008-03-14_16-29-45,1,0,1,0,0,1_0_1_0_0
1003,2009-07-30_18-08-39,1,0,1,0,0,1_0_1_0_0
1003,2009-07-28_17-41-35,1,0,1,0,0,1_0_1_0_0
1003,2008-04-02_17-27-25,1,1,1,0,0,1_1_1_0_0
1003,2008-05-28_17-29-57,1,1,1,0,0,1_1_1_0_0
1003,2009-09-11_15-04-48,1,0,1,0,1,1_0_1_0_1
1003,2009-07-24_16-05-35,1,1,1,0,0,1_1_1_0_0
1003,2008-02-28_18-12-56,1,0,1,0,0,1_0_1_0_0
1003,2008-03-20_17-00-16,1,1,1,0,0,1_1_1_0_0
1003,2008-02-22_16-42-59,1,1,1,0,0,1_1_1_0_0
1003,2008-03-04_17-36-56,1,1,1,0,0,1_1_1_0_0
1003,2008-06-20_16-01-53,1,0,1,0,0,1_0_1_0_0
1003,2008-02-25_17-24-07,1,1,1,0,0,1_1_1_0_0
1003,2009-06-30_18-17-06,1,0,1,0,0,1_0_1_0_0
1003,2009-07-03_12-05-05,1,0,1,0,0,1_0_1_0_0
1003,2009-06-25_18-06-41,1,0,1,0,0,1_0_1_0_0
1003,2008-06-09_17-08-59,1,0,1,0,0,1_0_1_0_0
1003,2009-10-07_15-44-24,1,1,1,0,0,1_1_1_0_0
1003,2008-03-07_11-25-56,1,1,1,0,0,1_1_1_0_0
1003,2008-03-11_17-10-51,1,0,1,0,0,1_0_1_0_0
1003,2009-07-15_17-27-38,1,0,1,0,1,1_0_1_0_1
1003,2008-05-15_12-57-04,1,0,1,0,0,1_0_1_0_0
1003,2009-06-29_17-05-19,1,0,1,0,0,1_0_1_0_0
1018,2009-07-02_16-56-30,1,0,0,0,0,1_0_0_0_0
1019,2009-09-24_13-19-55,1,0,0,0,1,1_0_0_0_1
1020,2009-08-20_17-01-14,1,1,0,0,0,1_1_0_0_0
1020,2009-08-21_07-26-25,1,1,0,0,0,1_1_0_0_0
1023,2008-02-21_08-18-12,1,0,1,0,1,1_0_1_0_1
1023,2009-10-23_13-23-00,1,0,1,0,0,1_0_1_0_0
1023,2008-02-21_08-19-45,1,0,1,0,1,1_0_1_0_1
1023,2008-04-22_10-47-28,1,0,1,0,1,1_0_1_0_1
1023,2008-05-23_08-31-25,1,0,1,0,1,1_0_1_0_1
1023,2009-08-14_13-07-54,1,0,1,0,0,1_0_1_0_0
1023,2008-05-23_08-30-54,1,0,1,0,1,1_0_1_0_1
1023,2008-02-21_08-20-06,1,0,1,0,1,1_0_1_0_1
1023,2008-05-30_10-59-44,1,0,1,0,1,1_0_1_0_1
1023,2009-10-20_14-15-45,1,0,1,0,1,1_0_1_0_1
1026,2008-04-07_10-15-03,1,0,0,0,0,1_0_0_0_0
1026,2008-05-30_15-02-03,1,0,0,0,1,1_0_0_0_1
1026,2008-04-07_10-15-25,1,0,0,0,0,1_0_0_0_0
1026,2009-06-29_13-58-45,1,0,1,0,0,1_0_1_0_0
1026,2009-06-29_13-55-44,1,0,1,0,0,1_0_1_0_0
1027,2008-03-19_11-14-54,1,0,0,0,1,1_0_0_0_1
1027,2008-02-21_11-58-26,1,0,0,0,0,1_0_0_0_0
1027,2008-03-14_10-27-02,1,0,0,0,0,1_0_0_0_0
1027,2008-02-28_17-16-03,1,0,0,1,0,1_0_0_1_0
1027,2009-07-22_08-26-01,1,0,0,0,0,1_0_0_0_0
1027,2009-06-29_17-06-25,1,0,0,0,1,1_0_0_0_1
1029,2009-07-17_12-17-42,1,0,1,0,0,1_0_1_0_0
1029,2009-08-13_11-59-10,1,0,1,0,0,1_0_1_0_0
1029,2009-07-17_10-14-14,1,0,1,0,0,1_0_1_0_0
1030,2009-08-20_10-58-12,1,0,1,0,0,1_0_1_0_0
